mV	mV	mV	mV	mV	°C	bar	%*bar	Zeit	Datum
0,298391	0,796166	1,10582	0,971606	0,555375	24,3736	0,0175798	2,77089	19:16:47	30.10.2023
0,300308	0,796549	1,1056	0,970035	0,555196	24,3346	0,0185741	2,74124	19:17:47	30.10.2023
0,300007	0,794989	1,10834	0,97049	0,555984	24,3652	0,0176761	2,64995	19:18:47	30.10.2023
0,297956	0,799778	1,10692	0,970261	0,555291	24,4023	0,0187129	2,75037	19:19:47	30.10.2023
0,300341	0,797696	1,10708	0,971956	0,555767	24,3845	0,0185511	2,74054	19:20:47	30.10.2023
0,300144	0,797466	1,10815	0,969172	0,555591	24,3	0,0186153	2,75602	19:21:47	30.10.2023
0,297627	0,794007	1,10943	0,968901	0,555475	24,3563	0,0175261	2,3714	19:22:47	30.10.2023
0,30124	0,794374	1,10739	0,968183	0,555829	24,4012	0,0191148	2,26131	19:23:47	30.10.2023
0,297042	0,795188	1,10659	0,964803	0,556044	24,417	0,0180513	2,36698	19:24:47	30.10.2023
0,298287	0,793681	1,10836	0,966678	0,555318	24,3675	0,0166302	2,27313	19:25:47	30.10.2023
0,297888	0,796023	1,10637	0,963935	0,555912	24,3596	0,0179674	2,23852	19:26:47	30.10.2023
0,29855	0,79572	1,10562	0,964497	0,556372	24,4081	0,0189295	2,24161	19:27:47	30.10.2023
0,297439	0,794047	1,10716	0,964352	0,555337	24,3337	0,0181707	2,26129	19:28:47	30.10.2023
0,298073	0,794361	1,1079	0,963309	0,556098	24,3403	0,0173745	2,24676	19:29:47	30.10.2023
0,298962	0,796424	1,10791	0,962557	0,555077	24,3999	0,0172802	2,24093	19:30:47	30.10.2023
0,298405	0,794622	1,10688	0,962315	0,555619	24,3431	0,0176506	2,24806	19:31:47	30.10.2023
0,298033	0,795023	1,10688	0,962031	0,554569	24,3285	0,0181831	1,74193	19:32:47	30.10.2023
0,298186	0,794285	1,1056	0,962208	0,55665	24,2845	0,0178923	1,62947	19:33:47	30.10.2023
0,297717	0,793359	1,10622	0,963565	0,555282	24,3841	0,0186474	1,73738	19:34:47	30.10.2023
0,298871	0,794243	1,10442	0,960742	0,556395	24,3517	0,0183733	1,73818	19:35:47	30.10.2023
0,301062	0,793072	1,10276	0,961535	0,555027	24,4011	0,0177307	1,74131	19:36:47	30.10.2023
0,300128	0,79556	1,10205	0,96116	0,555234	24,2916	0,0186883	1,74036	19:37:47	30.10.2023
0,298686	0,79292	1,10536	0,961832	0,555551	24,3965	0,0177592	1,73041	19:38:47	30.10.2023
